,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11,11,,,,,,,,,,,,,20.81,41.99,34.90,29.77,23.75,18.64,16.65,15.57,14.37,13.60,13.17,22.35,20.01,41.64,35.27,29.75,23.73,18.30,16.57,15.56,14.30,13.72,13.11,23.32,20.93,43.75,33.52,29.60,24.39,17.52,16.61,15.12,14.45,13.76,13.25,21.83,21.39,43.70,36.90,28.86,24.55,18.39,16.45,15.17,14.12,13.80,13.20,22.45,15.94,15.23,15.06,15.52,13.20,14.16,14.59,14.22,12.77,12.19,12.22,13.32,12.11,12.29,12.11,12.31,12.66,12.06,12.09,13.95,12.06,15.78,13.54,14.65,14.80,13.72,15.36,15.85,13.81,14.82,14.00,15.77,21.25,18.39,26.35,19.67
12,12,,,,,,,,,,,,,28.55,70.61,53.73,46.61,33.54,25.23,20.91,19.14,16.34,15.06,14.22,32.87,28.23,71.89,56.98,46.28,34.91,24.79,20.75,18.42,16.28,15.16,14.29,31.41,27.23,67.18,53.68,45.20,35.65,23.45,20.98,17.94,16.77,15.30,14.49,30.44,29.17,68.08,59.80,41.57,35.22,24.38,20.63,18.06,16.05,15.08,14.34,30.98,16.42,15.67,16.35,14.19,16.68,13.20,14.67,13.71,13.44,12.38,12.43,14.51,12.24,12.53,12.22,12.58,13.35,12.11,12.17,15.53,12.11,13.27,14.71,15.20,14.17,13.54,15.78,14.10,15.11,15.10,15.78,15.45,27.89,24.11,39.05,28.43
13,13,,,,,,,,,,,,,45.17,125.83,97.03,81.64,52.45,36.65,28.57,24.92,21.00,17.84,15.90,49.97,42.74,124.31,101.01,71.32,58.19,36.39,29.98,23.76,19.41,18.20,16.09,52.74,43.75,127.36,88.69,75.64,57.58,33.25,27.95,23.67,20.43,18.80,16.60,47.26,44.34,116.42,103.29,68.86,57.21,35.62,27.34,22.62,20.07,18.05,16.48,52.66,16.19,15.58,14.93,15.51,16.57,15.15,14.34,16.14,14.66,12.74,12.84,16.63,12.45,13.03,12.42,13.05,14.50,12.24,12.35,18.74,12.23,14.12,13.12,16.93,15.51,16.37,15.28,14.56,15.38,16.46,16.01,15.82,43.15,33.02,61.95,41.41
14,14,,,,,,,,,,,,,72.84,216.41,171.32,130.18,88.66,55.81,45.60,37.49,29.02,23.30,19.36,83.15,70.19,208.07,187.55,132.10,98.27,58.79,42.67,37.24,27.77,24.34,20.43,82.09,71.68,211.48,161.31,134.61,91.79,54.00,45.32,35.49,27.68,24.46,20.48,78.96,76.13,213.88,179.84,118.59,99.31,55.18,41.92,32.57,27.39,23.73,19.95,81.52,14.09,13.06,15.49,15.06,13.83,14.40,14.27,13.57,17.30,13.33,13.49,20.57,12.86,13.97,12.79,13.99,16.65,12.45,12.61,24.36,12.41,13.72,15.38,15.37,16.34,15.80,15.47,14.25,16.27,15.85,15.68,15.13,76.42,56.11,106.88,65.12
15,15,,,,,,,,,,,,,135.43,403.55,286.10,237.44,162.91,101.72,73.13,57.05,41.62,34.79,27.25,153.06,119.94,390.57,321.60,235.78,180.71,96.74,69.25,57.58,40.26,34.14,27.05,155.00,122.59,356.06,264.19,247.30,177.81,85.42,74.90,57.84,43.76,35.56,29.03,139.37,130.79,408.62,310.17,210.36,173.50,96.63,73.43,52.00,43.21,34.70,27.45,151.62,13.31,16.72,15.30,14.95,15.37,14.85,15.22,16.29,21.44,14.78,14.78,28.46,13.69,16.00,13.50,16.00,21.12,12.80,13.29,38.37,12.83,15.54,13.00,13.59,13.60,15.13,14.56,15.31,13.78,15.73,14.27,15.28,132.24,90.56,199.90,116.29
16,16,,,,,,,,,,,,,245.14,636.83,471.78,391.65,299.51,172.76,121.73,97.83,69.33,53.64,38.93,264.75,223.68,635.00,568.75,418.19,294.79,175.49,125.24,96.29,65.90,53.68,42.19,271.28,213.53,610.55,476.50,439.44,316.55,146.26,135.63,97.28,69.07,54.81,42.72,250.09,229.85,648.15,577.76,357.36,300.89,166.42,122.72,91.28,69.86,54.51,41.22,263.61,15.21,14.80,14.42,13.74,15.42,15.31,16.39,13.95,30.85,16.96,17.67,44.50,15.30,19.46,14.99,19.26,29.01,13.66,14.26,61.15,13.61,16.93,16.12,14.86,13.31,16.56,13.35,14.89,15.97,16.84,13.31,15.53,231.34,159.04,315.17,203.18
17,17,,,,,,,,,,,,,419.90,1030.81,824.68,701.58,504.72,306.02,238.77,183.15,118.73,85.42,69.44,465.02,389.25,1039.45,836.34,673.10,504.67,285.43,238.46,179.86,116.86,89.80,65.80,463.53,393.92,987.01,763.24,681.62,548.96,253.76,215.39,161.01,126.23,93.79,73.84,442.78,391.46,1067.23,885.62,667.19,535.97,291.57,206.89,148.15,125.65,89.44,69.91,488.49,16.08,13.95,14.76,15.55,13.84,15.94,14.38,15.57,49.11,21.10,22.30,73.90,17.78,26.59,17.76,26.69,43.98,15.19,16.52,97.76,15.04,13.05,16.71,14.80,15.71,16.85,15.73,13.16,16.67,15.55,16.82,14.73,412.82,301.36,561.87,354.03
18,18,,,,,,,,,,,,,648.61,1536.16,1239.60,1146.85,837.34,550.18,400.75,300.02,211.13,162.14,110.08,757.44,657.44,1566.53,1249.37,1012.22,820.05,519.97,380.06,297.84,195.73,152.23,113.43,816.09,653.95,1550.89,1304.47,1123.60,884.50,447.70,415.97,282.79,225.33,180.66,130.11,759.61,717.97,1549.70,1291.79,1019.77,891.06,524.45,404.76,266.49,209.32,171.91,124.98,747.82,13.65,13.30,16.11,14.53,14.33,13.24,16.82,14.06,79.46,30.31,33.76,131.68,22.86,38.92,22.15,40.90,71.33,18.05,21.15,184.64,17.24,13.29,15.29,14.00,14.78,16.59,13.60,15.56,16.73,15.66,14.07,15.80,698.90,504.75,933.15,658.21
19,19,,,,,,,,,,,,,1079.70,1960.34,1820.20,1643.01,1289.05,878.95,627.10,570.74,394.66,279.85,204.00,1236.43,1006.34,2020.35,1793.90,1569.80,1387.91,813.47,670.93,561.15,339.29,284.82,218.02,1216.59,979.02,1839.00,1687.86,1515.77,1337.31,823.91,684.44,504.58,367.46,309.60,235.32,1068.47,1034.65,2039.49,1840.02,1491.24,1207.51,852.02,635.24,479.33,387.84,287.94,227.54,1113.15,13.22,16.15,13.17,13.47,16.23,15.67,14.83,15.71,145.98,45.28,51.60,242.42,32.32,60.75,32.76,64.79,134.36,22.66,29.01,302.74,22.13,13.20,14.23,16.17,14.82,13.68,15.36,16.27,13.43,14.99,16.20,13.88,1095.59,817.45,1444.22,1061.02
20,20,,,,,,,,,,,,,1592.76,2309.92,2317.47,2067.68,1642.47,1378.36,1103.67,912.03,652.19,476.93,339.09,1571.88,1477.89,2423.36,2257.99,1994.27,1892.52,1223.10,1003.02,907.52,621.55,514.79,348.08,1672.34,1394.14,2251.16,2040.30,2084.91,1878.14,1194.40,1108.72,876.16,675.14,506.11,408.31,1604.86,1534.96,2506.22,2274.84,1845.69,1689.92,1287.25,1098.68,805.59,656.43,492.63,352.67,1608.89,13.47,15.12,13.38,14.45,16.04,15.16,13.88,16.08,252.27,76.19,83.14,419.15,54.23,114.58,50.60,107.58,231.30,32.34,44.18,532.43,32.04,14.34,16.22,16.03,13.17,15.96,16.70,13.70,16.14,14.94,13.46,16.58,1570.34,1275.75,1824.38,1405.16
21,21,,,,,,,,,,,,,2069.76,2574.49,2604.19,2361.01,2051.60,1859.18,1611.05,1306.32,989.52,804.12,607.90,2213.07,1874.78,2782.93,2538.64,2354.27,2113.97,1837.11,1558.52,1394.36,945.60,780.81,648.12,2001.23,1869.87,2748.98,2482.14,2309.05,2171.10,1776.59,1560.20,1334.42,1065.43,876.12,648.85,2189.32,2114.74,2492.96,2674.78,2353.50,2343.93,1791.93,1574.95,1183.74,1042.74,855.10,619.49,2070.04,15.32,16.57,15.37,13.60,15.29,13.02,16.92,13.16,430.84,140.68,142.29,684.92,89.75,198.79,88.47,196.52,384.19,53.55,68.01,921.34,52.80,13.53,14.18,15.59,13.36,14.92,14.22,15.81,16.43,15.99,13.10,14.82,2067.19,1829.94,2252.59,2013.29
22,22,,,,,,,,,,,,,2357.42,2789.60,2776.22,2796.36,2359.77,2346.15,1960.07,1698.62,1482.16,1200.15,1037.08,2471.75,2449.86,2908.66,2600.82,2785.60,2619.02,2085.10,2118.86,1836.33,1522.47,1190.39,993.08,2512.05,2313.61,2676.92,2739.62,2513.89,2607.32,2054.13,2135.36,1707.26,1440.42,1302.89,1134.56,2452.60,2542.68,2696.18,2843.54,2534.29,2475.33,2136.05,2026.46,1651.75,1394.28,1239.25,1020.61,2476.91,13.49,15.84,15.71,15.13,14.17,15.48,16.20,16.78,755.25,254.76,252.51,1133.42,157.05,319.99,156.68,339.13,712.98,85.93,121.32,1378.27,84.83,16.50,15.08,15.51,14.17,16.88,15.17,13.53,14.39,14.78,15.58,14.17,2240.74,2289.67,2488.58,2474.87
23,23,,,,,,,,,,,,,2708.15,2865.08,2797.03,2877.14,2659.63,2577.07,2447.75,2337.83,1955.03,1676.15,1372.64,2798.23,2516.10,2806.02,2865.54,2988.14,2843.60,2383.70,2336.28,2210.71,1839.64,1835.66,1519.91,2627.07,2794.46,3026.56,2924.22,2883.84,2617.42,2395.49,2242.23,2148.88,1890.01,1732.79,1482.13,2697.28,2491.85,2829.33,2811.98,2752.50,2750.66,2414.71,2304.33,2267.43,1929.03,1748.22,1421.44,2686.12,14.28,13.02,15.95,16.90,14.33,15.82,14.90,14.16,1201.29,448.79,470.15,1479.95,281.84,611.19,262.64,611.49,1097.83,165.70,210.64,1837.71,145.05,14.61,16.36,14.78,13.37,13.22,15.57,15.33,13.89,16.74,14.11,13.09,2657.74,2494.55,2833.03,2473.34
24,24,,,,,,,,,,,,,2820.05,2832.19,2857.97,2950.55,3021.50,2897.98,2599.80,2430.89,2469.96,2125.95,1887.44,2756.42,2744.82,3138.76,3082.98,2745.32,2953.31,2722.83,2819.93,2643.78,2260.27,2265.85,2074.32,2814.25,2946.58,2809.13,2959.72,2749.54,2754.46,2700.54,2779.27,2689.96,2236.93,2354.91,2082.45,2671.72,2781.07,3114.84,2903.64,2918.78,2941.27,2830.93,2509.43,2385.06,2310.69,2201.65,1845.21,2964.35,16.34,14.22,15.24,14.85,13.11,13.01,14.05,16.82,1685.28,708.20,791.02,2124.27,480.52,938.78,472.47,930.14,1461.35,271.64,412.56,2118.94,271.32,15.32,15.26,16.47,15.51,14.90,15.78,13.48,15.05,15.30,16.38,13.65,2643.48,2663.52,3025.27,2656.63
25,25,,,,,,,,,,,,,2776.25,2890.38,2936.29,3119.71,2871.14,2788.62,2821.70,2911.05,2636.52,2588.08,2224.15,2761.20,2994.70,2997.46,3119.38,3083.07,3006.36,2789.68,2878.79,2815.06,2469.60,2536.27,2447.30,2732.38,2904.03,2929.25,2960.45,2894.86,3093.80,2695.94,2682.51,2636.13,2531.74,2672.24,2428.56,3040.16,2915.67,2993.28,2992.54,3051.45,2781.18,2847.50,2645.82,2828.87,2771.49,2508.63,2296.64,2867.09,16.27,16.56,15.39,16.05,14.37,15.84,13.12,16.26,1996.66,1167.72,1141.42,2309.39,765.26,1328.75,726.23,1459.23,2082.65,459.20,681.44,2645.32,431.51,13.43,16.17,15.05,13.24,13.48,14.01,13.26,15.67,16.02,16.13,16.68,2788.45,3009.38,2818.78,2835.80
26,26,,,,,,,,,,,,,2795.19,3132.98,3164.25,3161.29,2907.12,2803.11,2903.65,2957.32,2704.65,2746.15,2468.39,2993.09,2760.65,2882.72,2868.66,2895.50,3129.39,2948.08,3085.36,2714.44,2681.69,2728.43,2695.82,2911.42,2985.89,2970.94,3169.66,2856.90,2913.37,2876.36,2793.68,2758.60,2661.89,2921.20,2520.66,2805.84,2812.69,3099.84,3072.50,3002.46,2788.25,2865.14,2751.46,2766.83,2833.39,2662.38,2795.43,2941.41,15.22,14.16,16.42,13.76,13.28,16.36,14.90,15.72,2331.90,1698.12,1678.20,2516.46,1224.78,1916.28,1124.46,1811.73,2355.92,814.62,990.49,2912.12,813.09,13.26,16.90,14.35,15.38,16.96,13.49,16.35,15.90,14.11,15.85,15.33,2864.49,3041.74,3031.82,2909.52
27,27,,,,,,,,,,,,,2972.83,3044.46,2961.81,2990.89,2900.63,3077.28,2800.54,2839.06,2896.77,2901.20,2650.90,2827.11,2802.96,2831.05,3072.08,3184.03,2943.81,3041.26,2817.78,2982.16,2735.54,2695.50,2889.18,3092.86,3095.61,2884.20,3064.00,2993.09,2895.62,2903.34,3095.67,2950.00,3075.21,2687.96,2787.35,3148.50,2936.20,2929.41,2951.81,2979.08,2804.15,2992.08,3093.42,2847.98,2974.50,2854.92,2663.38,3072.02,14.95,13.44,15.70,15.64,15.74,15.29,14.90,16.42,2683.00,2025.24,2127.87,2990.72,1744.45,2243.88,1777.13,2252.77,2483.93,1160.92,1584.48,2815.30,1222.86,13.11,16.57,14.37,13.39,14.38,14.43,14.41,15.64,13.99,15.59,15.37,3143.66,2796.90,2915.04,2914.32
28,28,,,,,,,,,,,,,2805.35,2938.01,2990.06,3149.14,3026.73,3150.16,2889.20,3049.32,2985.77,3115.38,2842.73,2954.63,3024.01,3130.57,2846.62,3073.58,2935.33,2991.32,3086.32,2907.80,2992.24,2875.39,2870.50,2997.54,3133.24,3122.01,3141.28,3018.43,2915.88,2807.74,3178.22,2930.98,2845.46,3028.71,2747.51,3134.36,2835.15,2942.32,2833.53,3123.29,2990.41,2874.54,3097.47,3025.33,2872.29,3047.98,2871.21,3014.52,13.80,14.61,15.50,14.81,16.05,13.72,13.07,15.81,2965.62,2447.09,2381.53,3083.99,2230.31,2573.92,2245.08,2609.15,2854.10,1779.29,1969.97,2963.56,1694.59,15.09,14.46,13.59,13.60,15.74,14.20,14.74,14.27,16.32,13.26,13.81,2961.00,3117.44,3060.04,2897.60
29,29,,,,,,,,,,,,,3044.26,2972.00,2854.28,2884.84,2903.98,3131.27,2981.79,3014.74,2954.72,3024.69,2765.67,2868.90,2858.18,2913.05,3130.32,3071.05,2876.74,3141.06,3180.49,2984.89,2788.02,3109.56,2786.84,3045.62,3149.58,3169.66,2971.41,2953.34,3068.89,2835.85,3172.45,3078.75,2838.59,2817.72,3047.13,3177.07,3012.60,3141.13,3188.71,3179.74,2906.79,3153.59,2891.26,2837.76,3100.60,2901.15,2983.90,2961.08,15.99,13.94,14.69,13.58,13.70,16.88,14.76,14.02,2948.42,2668.87,2660.95,3131.65,2437.17,2744.84,2530.58,2951.56,3050.11,2286.32,2329.66,3057.92,2208.28,13.08,16.87,15.42,16.37,15.65,16.76,15.76,16.16,13.96,15.21,14.24,3186.42,2945.29,3131.36,2852.10
30,30,,,,,,,,,,,,,3154.33,3153.76,2965.68,3173.66,2965.86,3197.00,2906.14,2837.69,3123.57,2883.26,2863.11,3164.16,3173.49,3063.27,3162.15,3116.36,2971.46,2819.96,3149.78,3129.54,3169.23,2977.31,2944.78,3144.68,3094.19,3161.37,3138.23,3139.52,3088.20,3007.74,2944.60,3041.02,3120.36,3084.78,2963.53,2819.19,2828.83,3067.38,3062.48,3125.90,2863.39,2966.26,3054.51,2925.03,2828.67,2853.28,2986.24,3195.98,16.32,16.05,16.39,15.74,16.17,14.28,14.91,15.94,2865.85,2894.81,2967.43,3100.88,2610.94,2849.51,2588.60,3030.79,3129.03,2625.53,2543.91,3169.41,2606.35,15.59,15.51,16.63,16.90,13.79,15.81,13.68,14.60,14.72,14.04,13.36,2954.82,3184.21,2856.30,3094.49
31,31,,,,,,,,,,,,,2983.86,3179.31,2992.59,3080.30,2857.73,3094.29,2884.04,3150.74,3115.73,2915.08,2991.64,2862.22,3152.01,3051.37,3209.22,2924.04,3081.22,2976.25,2971.08,2864.77,2918.96,2904.94,3041.60,3172.94,2957.48,3085.03,2994.33,2815.08,2863.74,2937.83,3084.75,3080.48,3088.55,3083.73,3090.23,2912.47,2848.00,2834.90,2944.35,2904.72,3173.52,3207.30,3182.93,3191.79,3042.18,3098.90,2814.31,2911.61,15.48,14.21,14.58,14.48,16.87,15.24,15.32,14.04,2986.07,3077.45,3068.52,2849.93,2782.80,2954.72,2707.01,2795.32,2801.23,2585.46,2944.29,3134.65,2789.79,16.70,14.13,16.51,15.45,16.05,14.06,14.25,16.57,14.26,16.98,16.05,2870.30,3149.76,3073.49,3128.68
32,32,,,,,,,,,,,,,2832.20,2871.13,2903.49,2825.80,2915.20,3092.75,2984.31,3206.87,3178.03,2822.20,2945.34,3094.56,3004.82,3008.86,3149.89,3158.11,2860.66,2847.89,3156.87,2881.32,2874.63,3009.12,2912.38,3167.32,3044.99,3045.07,3200.13,3021.82,3039.46,2976.73,2840.59,3116.00,3078.19,3160.71,2814.68,3083.41,3083.06,2969.34,3047.71,3191.79,3145.88,2871.93,2842.19,3140.63,3071.01,2987.39,3184.69,3048.67,13.02,16.88,15.62,16.80,14.30,15.93,15.94,16.83,3025.16,2845.08,2786.63,3061.14,2857.56,2799.86,2754.39,3155.37,2948.92,2813.72,2776.70,3192.03,2979.02,13.36,16.41,13.65,16.12,14.14,16.01,15.62,13.48,14.96,14.73,16.23,2934.86,3084.22,2863.79,3076.87
33,33,,,,,,,,,,,,,3144.19,3016.88,3007.60,3165.85,3002.10,3036.39,2980.05,3112.97,3133.90,3054.09,2980.75,2981.88,2827.56,2948.52,2997.19,2901.38,3086.04,2873.22,3008.93,3062.19,3019.30,2925.05,2982.27,3174.34,3002.39,2871.27,2862.87,3172.84,3148.15,3020.27,2929.04,2829.53,2840.41,2827.13,2850.98,2981.40,2849.22,3076.16,3039.17,2913.02,2913.50,2843.89,3012.14,2855.84,3074.12,2880.68,2880.45,2968.67,13.33,16.51,14.19,15.35,14.82,15.68,15.50,14.06,3190.70,3130.96,2862.82,2881.95,3063.94,3034.18,3109.99,2836.99,3017.40,2734.28,2802.55,2877.87,2911.44,15.77,16.48,16.86,15.41,14.95,15.47,16.90,14.44,15.70,15.76,14.58,2932.45,2861.18,2817.18,2856.12
34,34,,,,,,,,,,,,,2818.06,3200.11,3155.47,2895.54,3071.19,3071.45,2985.70,3061.59,3126.70,2886.66,2929.86,2997.09,3001.25,2820.64,2878.33,2872.81,3092.80,3197.08,2999.97,3155.04,3044.74,2890.87,3037.29,3145.25,2832.05,2815.06,3064.03,3097.07,3203.55,3150.92,3106.19,3049.45,3032.49,2926.74,3004.76,3006.14,3048.09,3056.51,3083.35,3138.49,3006.92,3097.25,3022.68,2979.86,2937.09,2835.79,3166.61,2978.59,14.89,14.98,16.76,14.39,15.79,13.08,14.15,13.77,2945.69,2890.59,2887.22,3173.28,2924.31,3042.66,3122.43,3064.89,2860.33,2885.25,3064.51,3194.29,3094.50,15.69,15.94,16.18,16.20,16.38,15.49,14.13,16.00,15.67,13.52,13.80,3053.97,2851.92,2978.19,3209.13
35,35,,,,,,,,,,,,,2933.30,2895.73,2830.76,2819.17,3164.22,2954.60,2875.13,3142.73,3169.09,2823.92,2836.20,2984.10,3058.84,2860.23,2901.58,2915.04,2948.01,2953.87,2830.36,3162.63,2918.32,2871.61,3086.74,3018.01,3079.61,3094.51,3182.58,2987.05,2994.73,3148.36,2856.07,2853.93,3055.58,3123.99,3189.71,3141.28,2828.63,2854.12,3063.91,3160.25,3176.26,2874.59,2928.52,2988.11,3013.69,3104.10,2850.52,3070.69,14.34,13.55,16.39,14.76,14.66,16.08,13.98,16.24,2946.52,3006.27,2839.59,2959.83,3101.01,2951.11,3064.39,2867.81,3111.06,2957.09,2887.51,3131.87,2952.10,14.64,14.84,16.41,16.18,14.45,13.12,13.58,13.04,16.22,16.77,13.34,2937.75,3204.52,2877.63,2836.41
